target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"Chicago Police Department, Cook County";Safety;Illinois;"Hacking, Other";6/2/2020;"Chicago Sun TimesJune 2nd, 2020Police radio and dispatch were inundated with rogue transmissionsElaborate cyberattack substantially disrupted law enforcement communicationsOfficials confirmed that most officer's radios aren't protectedRead More";"https://chicago.suntimes.com/2020/6/1/21277567/chicago-officers-radios-rogue-messages-anti-cop-music-pro-cop-slogans-during-george-floyd-protests,";https://www.cookcountysheriff.org/departments/c-c-s-p-d/;Y;Digicert;sha256;high;6;2020
"Herrin Police Department Website, Williamson County";Safety;Illinois;"Unknown, Other: Website Defacement";11/3/2019;"14 NewsNovember 3rd, 2019Bad actors that posted lewd pictures to PD Google Review caused 911 lines to be bogged downOfficials stated they would do a better job keeping track of their pageBoth Google officials and statewide law enforcement agencies were notified of the cyberattack Read More";"https://www.google.com/amp/s/www.14news.com/2019/11/04/herrin-police-issues-statement-after-lewd-photos-appear-google-reviews/%3foutputType=amp,";https://www.cityofherrin.com/;Y;R3;sha256;low;11;2019
"City of Harvard Tornado Early Warning System, McHenry County";Safety;Illinois;"Hacking, Other";3/21/2019;"NBC Chicago March 21st, 2019 Following several attacks a McHenry county city plans to remove its siren systemAfter investigation is was revealed that the malfunctions were due to attacks on the systemDue to the several false alarms many emergency and non-emergency calls were made clogging up 911 systemsRead More";"https://www.nbcchicago.com/news/local/harvard-tornado-sirens-eliminated-illinois-507474831.html,";https://www.cityofharvard.org/police;Y;R3;sha256;low;3;2019
"Will County 911, Police & Fire Services, Will County";Safety;Illinois;Malware;10/19/2018;"The Herald-NewsOctober 19th, 2018Virus infected Will County computer systemsVirus inhibited officers’ & firefighters’ ability to communicate in field with Will County 911 over mobile internet connectionVirus did not affect 911 phone system, radio, or CAD systemOfficers manually filed reports rather than through online methodsNo sensitive data or EMS reports accessed by hackersRead More";https://www.theherald-news.com/2018/10/17/virus-infects-secondary-will-county-911-services/aplqrid/;www.willcosheriff.org/;N;NA;NA;;10;2018
Marion County Sheriff's Office;Safety;Illinois;Data Breach;4/3/2018;"X95 RadioApril 3rd, 2018Security breach compromised & removed private data Affects those booked into Marion County Jail Sheriff's office implementing additional safeguards to prevent future breachesRead More";http://www.x95radio.com/2018/04/03/marion-county-jail-advises-former-inmates-of-data-breach-possible-identity-theft/;https://www.marionso.com/;Y;R3;sha256;med;4;2018
Wood River PD Prevents Major Attack;Safety;Illinois;Ransomware;5/5/2017;"The TelegraphMay 5th, 2017Hackers phished for vital information to Wood River PD PD officials recognized ransomware and locked department out of computer systems Had redundancy server (backup server) set up to protect information Read More";https://www.thetelegraph.com/news/article/Wood-River-Police-Department-thwarts-attempt-at-12591008.php;https://www.woodriver.org/index.cfm?page=5012;Y;Cloud flare;sha256;low;5;2017
Roxana PD Falls Victim;Safety;Illinois;Ransomware;2/10/2017;"Fox 2 NowFebruary 10th, 2017Chief of Police confirms ransomware infected computer systems FBI asked to aid Roxana PD Chief did not pay ransom Read More";http://fox2now.com/2017/02/10/roxana-police-department-the-latest-victim-of-ransomware/;https://roxana-il.org/police/;Y;Cloud flare;sha256;;2;2017
Suburban Chicago Police Department Pays $500 Ransom;Safety;Illinois;Ransomware;2/22/2015;"InquisitrFebruary 22nd, 2015Read More";http://www.inquisitr.com/1864770/suburban-chicago-police-department-forced-to-pay-a-hacker-500-ransom-for-its-own-files/;https://home.chicagopolice.org/about/police-districts/;Y;Cloud flare;sha256;med;2;2015
"Ransomware attack forces Indiana hospital to divert patients, Marion County";Safety;Indiana;"Unknown,"" Ransomware";8/4/2021;"Becker Hospital ReviewAugust 4th"","" 2021-""""""""Indianapolis-based Eskenazi Health shut down its IT network and went on diversion early Aug. 4 in response to an attempted ransomware attack""""""""-""""""""The hospital shut down its network around 3:30 a.m. Aug. 4 """"""""out of an abundance of caution"""""""" and to maintain the safety of patient care"",""-""""""""Eskenazi confirmed that no patient or employee data has been compromised by the attack"",""""""We are working system by system with a high level of due diligence to analyze all systems before bringing them back online"",""Read More""""";"https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-forces-indiana-hospital-to-divert-patients.html"",";https://www.marionso.com/;Y;R3;sha256;med;8;2021
"Vigo County Sheriff’s Office & 911 Systems, Vigo County";Safety;Indiana;"Unknown, Malware";8/6/2019;"WLFI August 6th, 2019 Vigo County Sheriff's Office victim of malware cyber attackOfficials stated that law enforcement services were not affectedDeputies forced to file paper reports, delays in email responsesRead More";https://www.wlfi.com/content/news/Sheriffs-office-in-western-Indiana-affected-by-malware-523052091.html;https://sheriff.vigocounty.in.gov/;Y;R3;sha256;med;8;2019
Madison County;Safety;Indiana;Ransomware;11/5/2016;"Wish TVNovember 5th, 2016County commissioners vote about paying ransom to hackers Most county office systems locked up, except ballots and voting records Gov. claims 911 operations unaffected Read More";http://www.wishtv.com/news/madison-co-government-servers-fall-victim-to-hackers-ransomware/1064252393;https://www.sheriffofmadisoncounty.com/;Y;R3;sha256;high;11;2016
"Muscatine County CAD system & law enforcement, & City of Muscatine, Muscatine County";Safety;Iowa;"Other, Ransomware";10/18/2018;"Muscatine Iowa GovOctober 18th, 2018A MUSCOM server, the City of Muscatine Shieldware, a Springbrook financial server, and other city servers encrypted by ransomware attackCity of Muscatine IT staff and other IT personnel worked to isolate ransomware and restore serversMuscatine Police and federal authorities lead investigationRead More";http://www.muscatineiowa.gov/CivicAlerts.aspx?AID=760&ARC=1033;https://www.muscatineiowa.gov/17/Police-Department;Y;Sectigo;sha256;low;10;2018
Attack on Butler County;Safety;Kansas;Ransomware;9/12/2017;"KNSSSeptember 12th, 2017County locket out of First Responder 911 system Dispatchers relay info via walkie talkie and notepads Read More";http://www.knssradio.com/articles/ransomware-attack-hits-butler-county-network;https://www.bucoks.com/;Y;Sectigo;sha256;high;9;2017
"Lafourche Parish Sheriff's Office, Lafourche Parish";Safety;Louisiana;"Phishing, Other";3/19/2021;"WDSUMarch 19th, 2021Sheriff's office responded to an email from a fake company and bank account providing instructions to change bank information and approximately $347,707 was sent to the hacker's accountAttack spans back to late 2018 when the crime took place and a report was sent to the FBI and Louisian Attorney General of the missing fundsNo employee of the Lafourche Parish Sheriff's Office was reported to be involved in perpetrating the crimeRead More";https://www.wdsu.com/article/wdsu-investigates-lafourche-parish-so-victimized-by-cyber-hack-dollar300000-stolen/35890516#;https://www.lpso.net/;Y;R3;sha256;high;3;2021
"Covington Police, Fire, and City, St. Tammany Parish";Safety;Louisiana;"Hacking, DDoS";3/11/2021;"WWLTVMarch 11th, 2021The city has lost access to all of its systems in recent cyber attackPolice, Fire, and other city employees were unable to use their systems and had to resort to other meansIt is unknown the extent of the attack or how long its duration will persistRead More";https://www.wwltv.com/article/news/local/northshore/covington-police-fire-and-city-computer-systems-down-after-hack/289-5b809322-8576-4981-94b7-9011e34e11e1;http://www.stpgov.org/government/public-safety;N;NA;NA;low;3;2021
"Louisiana State Government, State of Louisiana";Safety;Louisiana;"Unknown, Ransomware";11/18/2019;"The Advocate November 18th, 2019 Motor vehicle and other state departments disrupted in cyberattack IT personnel disabled computers affected by the virus Most recipients of SNAP were able to utilize their card despite attack Read More";"https://www.theadvocate.com/baton_rouge/news/politics/legislature/article_f1fe1cdc-0a2f-11ea-a0ac-dfef52b2b2af.html,";https://www.louisiana.gov/;Y;Amazon;sha256;med;11;2019
"East Baton Rouge Sheriff’s Office, East Baton Rouge Parish";Safety;Louisiana;"Hacking, Other (Website Defacement)";9/4/2019;"The AdvocateSeptember 4th, 2019 Sheriff's office website hacked with disturbing messageOfficials advised that bad actor was unable to access dataWebsite eventually taken down and replaced with 404 error messageRead More";"https://www.theadvocate.com/baton_rouge/news/crime_police/article_adc19452-cf0d-11e9-9f91-8f430053ee7b.html?utm_content=bufferef2e1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,";https://www.ebrso.org/;Y;Go Daddy;sha256;high;9;2019
Lafayette Parish Sheriff's Office;Safety;Louisiana;Virus;10/19/2017;"KADN News 15October 19th, 2017Virus takes systems offline at Lafayette Parish Sheriff's OfficeInformation on inmate database missing as a resultEmail system downNetwork technicians working to restore & repair recordsVirus similar to attack on Iberia Parish Sheriff's Office which hit weeks beforeRead More";https://kadn.com/lafayette-sheriffs-office-recovering-from-computer-virus/;https://www.lafayettesheriff.com/site.php;Y;R3;sha256;high;10;2017
Virus Hits Iberia Parish Sheriff’s Office;Safety;Louisiana;Ransomware;8/4/2017;"KLFYAugust 4th, 2017FBI Cyber Crime Unit involved to investigateRead More";http://www.klfy.com/news/iberia-parish-sheriffs-office-computer-system-attacked-by-ransomware-virus/872600744;https://www.iberiaso.org/;Y;cPanel;sha256;med;8;2017
Hackers Threaten to Dump Presque Isle Police Files on Dark Web;Safety;Maine;"Unknown, Ransomware";4/28/2021;"Bangor Daily NewsApril 28th, 2021An unidentified cybergang associated with Avaddon Ransomware allegedly threatened to begin dumping the Presque Isle Police Department files on the dark web after accessing them if police did not comply with a ransom requestThe incident was reported to the FBI,” City Manager Martin Puckett said on Tuesday after confirming there was unauthorized access into the police department’s server. “We were able to restore from a daily backupIn a notice posted on the dark web, the Avaddon-related gang claims it has the Presque Isle Police Department files including victim statements, personal data of employees, reports of criminal cases, data from officers’ computers, confidential data, records and certificates The police department was hacked on April 18, according to a hacker report, and the ransomware gang gave city officials 240 hours to cooperate before it would begin leaking the documents on Wednesday Perhaps as a warning, the unidentified group has already posted a Presque Isle Police Department 2019 domestic violence incident report that includes the victim’s personal information as well as the suspect and police notes about what happenedRead More";https://bangordailynews.com/2021/04/27/news/aroostook/presque-isle-police-server-hacked-by-ransomware/;http://presqueislemaine.gov/police/;N;NA;NA;med;4;2021
